Page,Page ID,Reach,Engaged Users,Engagements,Reactions,Publications,Status,Comment
P4 Extra,299358359881,2516846,0,932779,63032,94,OK,
Sveriges Radio P4,496356157043523,2411799,0,519166,41527,103,OK,
P4 Östergötland Sveriges Radio,49709098596,2188583,0,1106652,40852,214,OK,
"P4 Göteborg, Sveriges Radio",203980793528,2004457,0,1051170,49578,221,OK,
Radiosporten,219032915954,1953715,0,977573,335657,292,OK,
"P4 Väst, Sveriges Radio",514988961867964,1931492,0,830375,28231,187,OK,
P4 Gävleborg Sveriges Radio,180274803510,1761401,0,774594,45150,160,OK,
Sveriges Radio P1,102331493143871,1707746,0,329697,29441,49,OK,
P4 Malmöhus Sveriges Radio,184974592076,1702930,0,772743,33913,173,OK,
Sveriges Radio,146516072147644,1697711,0,408317,56548,57,OK,
P4 Värmland Sveriges Radio,207905565931679,1614770,0,530274,37678,135,OK,
Kvällspasset i P4,438641463002942,1614368,0,97766,17567,27,OK,
P4 Västmanland Sveriges Radio,296637420037,1584208,0,659202,32159,191,OK,
P4 Jönköping Sveriges Radio,164331643514,1579221,0,653413,22943,138,OK,
P4 Kronoberg Sveriges Radio,463634550319238,1557734,0,987366,24323,174,OK,
P4 Kalmar Sveriges Radio,201491826288,1333873,0,645512,24212,212,OK,
Sveriges Radio Finska,113845545366340,1320668,0,381737,63610,131,OK,
P4 Dalarna Sveriges Radio,139233259459139,1304502,0,658034,25567,139,OK,
P4 Kristianstad Sveriges Radio,73955082738,1276390,0,474087,19952,144,OK,
P4 Stockholm Sveriges Radio,302044469838727,1266591,0,493368,27746,204,OK,
P4 Örebro Sveriges Radio,188449786530,1211877,0,547161,23564,132,OK,
P4 Sjuhärad Sveriges Radio,174123398422,1106040,0,583671,20141,198,OK,
Nyheter från Sveriges Radio Ekot,193765033970603,1086848,0,270231,25083,72,OK,
P4 Jämtland Sveriges Radio,153027428100654,1010140,0,737304,40230,216,OK,
P4 Norrbotten Sveriges Radio,179806478719870,998697,0,515214,36973,176,OK,
P4 Sörmland Sveriges Radio,192731292251,982719,0,297787,20927,120,OK,
P4 Halland Sveriges Radio,389256321141398,941030,0,377564,15702,174,OK,
P4 Uppland Sveriges Radio,180379287423,906146,0,432916,12642,169,OK,
